"cells","samples","cell.types","treatment.group","Cohort","no.of.genes","no.of.reads"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H05_S185_comb","Mel79","Mal","treatment.naive","Tirosh",3178,18197
"cy79_p5_CD45_neg_PDL1_pos_B05_S689_comb","Mel79","Mal","treatment.naive","Tirosh",2768,16025
"CY88_5_B09_S693_comb","Mel88","Mal","post.treatment","Tirosh",7309,388665
"cy78_CD45_neg_3_E04_S724_comb","Mel78","Mal","post.treatment","Tirosh",7590,217336
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F01_S61_comb","Mel79","Mal","treatment.naive","Tirosh",5627,95399
"cy79_p5_CD45_neg_PDL1_pos_C07_S703_comb","Mel79","Mal","treatment.naive","Tirosh",5216,73282
"Cy81_FNA_CD45_F05_S353_comb","Mel81","CAF","treatment.naive","Tirosh",4244,152863
"cy79_p4_CD45_neg_PDL1_pos_C01_S409_comb","Mel79","Mal","treatment.naive","Tirosh",4302,286973
"CY89FNAQ2_A09_S393_comb","Mel89","Mal","treatment.naive","Tirosh",8751,194821
"CY88_3_G06_S654_comb","Mel88","Mal","post.treatment","Tirosh",6229,336459
"cy78_CD45_neg_3_H09_S765_comb","Mel78","Mal","post.treatment","Tirosh",7533,246671
"cy79_p4_CD45_neg_PDL1_pos_D10_S430_comb","Mel79","Mal","treatment.naive","Tirosh",4906,157128
"cy81_Bulk_CD45_neg_E07_S151_comb","Mel81","Mal","treatment.naive","Tirosh",11432,602258
"CY89COREQ1_C11_S323_comb","Mel89","T.cell","treatment.naive","Tirosh",3067,81977
"cy79_p4_CD45_pos_PD1_pos_G06_S366_comb","Mel79","T.CD8","treatment.naive","Tirosh",4052,175539
"cy80_Cd45_pos_PD1_pos_B09_S45_comb","Mel80","T.CD4","treatment.naive","Tirosh",4625,126286
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G10_S466_comb","Mel79","T.CD8","treatment.naive","Tirosh",3268,93630
"cy74_CD45_pos_A12_S684_comb","Mel74","T.CD8","post.treatment","Tirosh",2950,51711
"CY89A_CD45_POS_10_C12_S228_comb","Mel89","T.CD4","treatment.naive","Tirosh",5098,80824
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G11_S467_comb","Mel79","T.CD8","treatment.naive","Tirosh",3405,97059
"cy79_p4_CD45_pos_PD1_pos_C04_S316_comb","Mel79","T.CD8","treatment.naive","Tirosh",3909,131753
"CY58_1_CD45_B02_S974_comb","Mel58","T.CD8","post.treatment","Tirosh",3637,201857
"cy79_p5_CD45_pos_PD1_pos_G10_S658_comb","Mel79","T.CD8","treatment.naive","Tirosh",2865,52121
"cy80_CD45_neg_F02_S446_comb","Mel80","T.cell","treatment.naive","Tirosh",4442,107665
"cy80_CD45_pos_PD1_pos_E05_S149_comb","Mel80","T.CD4","treatment.naive","Tirosh",5300,123768
"cy72_CD45_pos_H11_S959_comb","Mel72","T.CD4","post.treatment","Tirosh",3344,85794
"cy58_1_CD45_pos_D08_S620_comb","Mel58","T.CD8","post.treatment","Tirosh",3177,29315
"cy60_1_cd_45_pos_4_B04_S16_comb","Mel60","T.cell","post.treatment","Tirosh",2788,45094
"cy79_p4_CD45_neg_PDL1_neg_D09_S1101_comb","Mel79","T.CD4","treatment.naive","Tirosh",3382,137131
"cy72_CD45_pos_C08_S896_comb","Mel72","T.cell","post.treatment","Tirosh",4022,158886
"CY89A_Core_15_E01_S49_comb","Mel89","T.CD8","treatment.naive","Tirosh",2726,50691
"CY88CD45POS_2_C11_S419_comb","Mel88","T.CD4","post.treatment","Tirosh",4710,364150
"cy82_CD45_pos_2_B09_S501_comb","Mel82","T.CD8","treatment.naive","Tirosh",2262,82232
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D05_S233_comb","Mel79","T.CD4","treatment.naive","Tirosh",4360,80555
"cy60_1_cd_45_pos_4_G06_S78_comb","Mel60","T.CD4","post.treatment","Tirosh",2467,48561
"CY89COREQ1_A02_S290_comb","Mel89","T.CD4","treatment.naive","Tirosh",3900,130918
"cy60_1_cd_45_pos_3_C06_S318_comb","Mel60","T.CD8","post.treatment","Tirosh",3324,85417
"CY94CD45POS_1_G06_S174_comb","Mel94","T.CD8","post.treatment","Tirosh",4443,348453
"cy80_CD45_pos_PD1_pos_F11_S167_comb","Mel80","T.cell","treatment.naive","Tirosh",3748,89277
"Cy72_CD45_D09_S717_comb","Mel72","T.cell","post.treatment","Tirosh",2826,58112
"cy58_1_CD45_pos_F12_S648_comb","Mel58","T.CD4","post.treatment","Tirosh",5008,247124
"cy79_p5_CD45_pos_PD1_pos_C10_S610_comb","Mel79","T.CD8","treatment.naive","Tirosh",3180,110733
"cy74_CD45_pos_E12_S732_comb","Mel74","T.CD8","post.treatment","Tirosh",2790,53140
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G01_S265_comb","Mel79","T.CD4","treatment.naive","Tirosh",2533,21067
"cy60_1_cd_45_pos_4_B10_S22_comb","Mel60","T.CD4","post.treatment","Tirosh",2579,47095
"CY88CD45_150813_E07_S343_comb","Mel88","T.CD8","post.treatment","Tirosh",4647,383304
"cy72_CD45_pos_B07_S883_comb","Mel72","T.CD4","post.treatment","Tirosh",4232,146336
"CY88CD45POS_2_E03_S435_comb","Mel88","T.CD8","post.treatment","Tirosh",3477,136198
"Cy74_CD45_A03_S387_comb","Mel74","T.CD8","post.treatment","Tirosh",2563,126528
"CY89A_CD45_POS_10_B02_S206_comb","Mel89","T.CD4","treatment.naive","Tirosh",2650,61880
"CY89A_CD45_POS_10_H05_S281_comb","Mel89","T.CD8","treatment.naive","Tirosh",2441,25295
"Cy74_CD45_F09_S453_comb","Mel74","T.cell","post.treatment","Tirosh",2682,106556
"cy53_1_CD45_pos_2_F05_S1025_comb","Mel53","T.CD4","treatment.naive","Tirosh",3819,88081
"cy80_CD45_neg_A09_S393_comb","Mel80","T.cell","treatment.naive","Tirosh",4827,261230
"CY58_1_CD45_D03_S999_comb","Mel58","T.CD4","post.treatment","Tirosh",3027,96380
"cy84_Primary_CD45_pos_C05_S413_comb","Mel84","T.CD8","treatment.naive","Tirosh",2315,18073
"cy60_1_cd_45_pos_4_A06_S6_comb","Mel60","T.cell","post.treatment","Tirosh",2505,42059
"CY89COREQ1_A04_S292_comb","Mel89","T.CD4","treatment.naive","Tirosh",4049,155264
"cy79_p5_CD45_pos_PD1_pos_C01_S601_comb","Mel79","T.CD8","treatment.naive","Tirosh",4729,367597
"CY89A_CD45_POS_6_B03_S111_comb","Mel89","T.cell","treatment.naive","Tirosh",2631,59347
"cy60_1_cd_45_pos_4_G12_S84_comb","Mel60","T.CD4","post.treatment","Tirosh",3147,99461
"CY89A_CD45_POS_10_G12_S276_comb","Mel89","T.cell","treatment.naive","Tirosh",3118,93144
"cy94_cd45pos_4_D05_S41_comb","Mel94","T.cell","post.treatment","Tirosh",3882,178999
"cy79_p4_CD45_pos_PD1_pos_A09_S297_comb","Mel79","T.CD8","treatment.naive","Tirosh",3047,105113
"Cy72_CD45_C01_S697_comb","Mel72","T.cell","post.treatment","Tirosh",2882,202490
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G09_S561_comb","Mel79","T.cell","treatment.naive","Tirosh",2638,27250
"cy60_1_cd_45_pos_3_H11_S383_comb","Mel60","T.CD4","post.treatment","Tirosh",3865,110436
"Cy71_CD45_D07_S523_comb","Mel71","T.CD8","treatment.naive","Tirosh",3687,109269
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C08_S416_comb","Mel79","T.CD4","treatment.naive","Tirosh",2565,52183
"CY94CD45POS_1_D11_S143_comb","Mel94","T.cell","post.treatment","Tirosh",2787,66741
"cy60_1_cd_45_pos_3_A05_S293_comb","Mel60","T.cell","post.treatment","Tirosh",2777,45674
"cy74_CD45_pos_D09_S717_comb","Mel74","T.CD8","post.treatment","Tirosh",3640,61969
"Cy74_CD45_D04_S424_comb","Mel74","T.cell","post.treatment","Tirosh",2094,57028
"cy88_cd_45_pos_G03_S459_comb","Mel88","T.CD4","post.treatment","Tirosh",2241,26280
"CY89COREQ1_E09_S345_comb","Mel89","T.CD8","treatment.naive","Tirosh",3761,111349
"CY89COREQ1_B07_S307_comb","Mel89","T.CD8","treatment.naive","Tirosh",2889,50771
"cy80_CD45_neg_H12_S480_comb","Mel80","Macrophage","treatment.naive","Tirosh",8328,51091
"CY75_1FNA_E07_S535_comb","Mel75","T.CD4","post.treatment","Tirosh",4271,156680
"CY89A_CD45_POS_6_A07_S103_comb","Mel89","T.CD4","treatment.naive","Tirosh",2867,41047
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H01_S277_comb","Mel79","T.CD8","treatment.naive","Tirosh",3670,23890
"cy72_CD45_pos_D03_S903_comb","Mel72","T.CD8","post.treatment","Tirosh",3331,73077
"Cy74_CD45_C11_S419_comb","Mel74","T.CD8","post.treatment","Tirosh",2613,91866
"cy79_p4_CD45_pos_PD1_pos_B03_S303_comb","Mel79","T.CD8","treatment.naive","Tirosh",2965,156757
"CY88CD45_150813_D04_S328_comb","Mel88","T.cell","post.treatment","Tirosh",3435,213826
"CY89A_CD45_POS_10_A04_S196_comb","Mel89","T.CD8","treatment.naive","Tirosh",3945,165500
"cy60_1_cd_45_pos_4_D03_S39_comb","Mel60","T.CD4","post.treatment","Tirosh",2550,30697
"cy58_1_CD45_pos_D10_S622_comb","Mel58","T.CD8","post.treatment","Tirosh",2199,13711
"cy84_Primary_CD45_pos_A09_S393_comb","Mel84","T.CD4","treatment.naive","Tirosh",3542,133228
"cy84_Met_CD45_pos_C08_S896_comb","Mel84","T.CD8","treatment.naive","Tirosh",2476,85818
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B10_S406_comb","Mel79","T.CD8","treatment.naive","Tirosh",3526,153261
"Cy81_FNA_CD45_D07_S235_comb","Mel81","T.CD8","treatment.naive","Tirosh",3071,165595
"Cy72_CD45_D07_S715_comb","Mel72","T.CD4","post.treatment","Tirosh",2718,83516
"cy79_p4_CD45_pos_PD1_pos_G07_S367_comb","Mel79","T.CD8","treatment.naive","Tirosh",3591,187510
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H08_S572_comb","Mel79","T.CD8","treatment.naive","Tirosh",3507,63564
"cy80_CD45_neg_C11_S419_comb","Mel80","T.cell","treatment.naive","Tirosh",5899,235075
"Cy72_CD45_E08_S728_comb","Mel72","T.CD8","post.treatment","Tirosh",2984,54539
"cy72_CD45_pos_B03_S879_comb","Mel72","T.cell","post.treatment","Tirosh",4290,95700
"cy84_Primary_CD45_pos_E05_S437_comb","Mel84","T.cell","treatment.naive","Tirosh",2046,26440
"cy80_CD45_pos_PD1_pos_G05_S173_comb","Mel80","T.CD8","treatment.naive","Tirosh",2858,21020
"Cy71_CD45_B07_S499_comb","Mel71","T.CD8","treatment.naive","Tirosh",2075,24730
"cy94_cd45pos_A05_S101_comb","Mel94","T.cell","post.treatment","Tirosh",3371,145922
"cy53_1_CD45_pos_1_H03_S87_comb","Mel53","T.cell","treatment.naive","Tirosh",4756,275304
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C02_S218_comb","Mel79","T.CD8","treatment.naive","Tirosh",3405,37289
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C08_S224_comb","Mel79","T.CD8","treatment.naive","Tirosh",3127,30286
"cy72_CD45_pos_G10_S946_comb","Mel72","T.CD8","post.treatment","Tirosh",2830,53783
"cy84_Primary_CD45_pos_H09_S477_comb","Mel84","T.CD4","treatment.naive","Tirosh",3937,222518
"cy72_CD45_pos_F07_S931_comb","Mel72","T.cell","post.treatment","Tirosh",3461,128687
"cy53_1_CD45_pos_1_E06_S54_comb","Mel53","T.cell","treatment.naive","Tirosh",3689,60138
"cy79_p5_CD45_pos_PD1_pos_E08_S632_comb","Mel79","T.CD8","treatment.naive","Tirosh",4213,43958
"cy58_1_CD45_pos_D06_S618_comb","Mel58","T.CD8","post.treatment","Tirosh",2962,27788
"cy80_CD45_pos_PD1_pos_E04_S148_comb","Mel80","T.CD4","treatment.naive","Tirosh",5993,279835
"cy60_1_cd_45_pos_3_F04_S352_comb","Mel60","T.cell","post.treatment","Tirosh",3324,97721
"cy72_CD45_pos_A06_S870_comb","Mel72","T.CD4","post.treatment","Tirosh",3381,97040
"CY89FNA_C01_S217_comb","Mel89","T.CD8","treatment.naive","Tirosh",3156,111855
"cy74_CD45_pos_G03_S747_comb","Mel74","T.CD8","post.treatment","Tirosh",3837,115109
"CY89COREQ1_H09_S381_comb","Mel89","T.cell","treatment.naive","Tirosh",2339,23269
"Cy71_CD45_E03_S531_comb","Mel71","T.CD4","treatment.naive","Tirosh",3103,166929
"Cy74_CD45_H03_S471_comb","Mel74","T.cell","post.treatment","Tirosh",2824,90694
"CY89A_CD45_POS_6_C07_S127_comb","Mel89","T.CD4","treatment.naive","Tirosh",4939,236138
"cy80_Cd45_pos_PD1_pos_B11_S47_comb","Mel80","T.cell","treatment.naive","Tirosh",4512,141574
"cy72_CD45_pos_C02_S890_comb","Mel72","T.cell","post.treatment","Tirosh",3323,86734
"cy80_Cd45_pos_PD1_pos_S189_H09_S189_comb","Mel80","T.CD4","treatment.naive","Tirosh",4577,65093
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H10_S286_comb","Mel79","T.CD8","treatment.naive","Tirosh",2996,40381
"cy80_CD45_neg_E11_S443_comb","Mel80","T.CD8","treatment.naive","Tirosh",4431,228174
"cy88_cd_45_pos_F11_S455_comb","Mel88","NK","post.treatment","Tirosh",3480,65243
"CY58_1_CD45_A06_S966_comb","Mel58","T.CD8","post.treatment","Tirosh",3431,205139
"cy94_cd45pos_4_D11_S47_comb","Mel94","T.cell","post.treatment","Tirosh",4780,1183118
"cy53_1_CD45_pos_1_B11_S23_comb","Mel53","T.cell","treatment.naive","Tirosh",3930,65799
"CY89COREQ1_F11_S359_comb","Mel89","T.CD8","treatment.naive","Tirosh",3968,203212
"cy79_p4_CD45_pos_PD1_pos_A04_S292_comb","Mel79","T.CD8","treatment.naive","Tirosh",2813,107027
"cy74_CD45_pos_B04_S688_comb","Mel74","T.CD8","post.treatment","Tirosh",2956,73960
"Cy81_FNA_CD45_A09_S201_comb","Mel81","T.CD8","treatment.naive","Tirosh",2851,205703
"CY89A_CD45_POS_6_B11_S119_comb","Mel89","T.cell","treatment.naive","Tirosh",3543,221290
"CY94CD45POS_1_B11_S119_comb","Mel94","T.cell","post.treatment","Tirosh",4297,354956
"Cy81_FNA_CD45_B12_S216_comb","Mel81","T.cell","treatment.naive","Tirosh",3380,349614
"Cy71_CD45_B08_S500_comb","Mel71","T.cell","treatment.naive","Tirosh",2783,88942
"cy72_CD45_pos_E07_S919_comb","Mel72","T.CD4","post.treatment","Tirosh",3752,136814
"cy84_Primary_CD45_pos_A06_S390_comb","Mel84","T.CD4","treatment.naive","Tirosh",3140,87684
"cy72_CD45_pos_H10_S958_comb","Mel72","T.CD8","post.treatment","Tirosh",2718,44560
"cy80_Cd45_pos_PD1_pos_A05_S17_comb","Mel80","T.CD4","treatment.naive","Tirosh",5414,179131
"cy94_cd45pos_F04_S160_comb","Mel94","T.cell","post.treatment","Tirosh",2992,61807
"cy88_cd_45_pos_3_C01_S601_comb","Mel88","T.CD8","post.treatment","Tirosh",3345,141316
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F08_S452_comb","Mel79","T.cell","treatment.naive","Tirosh",3001,56391
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C10_S994_comb","Mel60","T.CD8","post.treatment","Tirosh",2180,49753
"cy80_Cd45_pos_PD1_pos_C02_S62_comb","Mel80","T.CD4","treatment.naive","Tirosh",5060,188692
"cy58_1_CD45_pos_B02_S590_comb","Mel58","T.CD4","post.treatment","Tirosh",4104,114853
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C01_S409_comb","Mel79","T.CD8","treatment.naive","Tirosh",3023,62100
"cy72_CD45_pos_A08_S872_comb","Mel72","T.cell","post.treatment","Tirosh",3468,127108
"cy79_p5_CD45_pos_PD1_pos_A04_S580_comb","Mel79","T.CD8","treatment.naive","Tirosh",3856,98903
"cy80_Cd45_pos_PD1_pos_S165_G09_S165_comb","Mel80","T.CD8","treatment.naive","Tirosh",4464,71619
"cy80_Cd45_pos_PD1_pos_S115_E07_S115_comb","Mel80","NK","treatment.naive","Tirosh",3553,45122
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_A08_S392_comb","Mel79","T.CD8","treatment.naive","Tirosh",2354,55430
"cy74_CD45_pos_C05_S701_comb","Mel74","T.CD8","post.treatment","Tirosh",2790,28854
"cy80_Cd45_pos_PD1_pos_C07_S67_comb","Mel80","T.CD4","treatment.naive","Tirosh",5842,189038
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_D12_S432_comb","Mel79","T.CD8","treatment.naive","Tirosh",2847,35883
"CY58_1_CD45_D11_S1007_comb","Mel58","T.cell","post.treatment","Tirosh",3084,134508
"CY94CD45POS_1_H08_S188_comb","Mel94","T.CD4","post.treatment","Tirosh",2937,84741
"cy58_1_CD45_pos_A07_S583_comb","Mel58","T.CD8","post.treatment","Tirosh",3867,81199
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H03_S279_comb","Mel79","T.CD8","treatment.naive","Tirosh",2965,47129
"Cy72_CD45_F12_S744_comb","Mel72","T.cell","post.treatment","Tirosh",3030,174671
"cy74_CD45_pos_A09_S681_comb","Mel74","T.CD8","post.treatment","Tirosh",4560,136030
"cy74_CD45_pos_D02_S710_comb","Mel74","T.CD8","post.treatment","Tirosh",3336,65699
"cy94_cd45neg_cd90pos_G06_S366_comb","Mel94","T.CD4","post.treatment","Tirosh",5030,360318
"cy79_p5_CD45_pos_PD1_pos_F06_S642_comb","Mel79","T.CD8","treatment.naive","Tirosh",3256,132267
"cy72_CD45_pos_E08_S920_comb","Mel72","T.cell","post.treatment","Tirosh",3257,76345
"cy80_CD45_pos_PD1_pos_F05_S161_comb","Mel80","T.CD8","treatment.naive","Tirosh",3197,35375
"cy60_1_cd_45_pos_4_C03_S27_comb","Mel60","T.CD4","post.treatment","Tirosh",4078,96956
"cy84_Primary_CD45_pos_G06_S462_comb","Mel84","T.CD4","treatment.naive","Tirosh",3045,105248
"cy84_Primary_CD45_pos_C01_S409_comb","Mel84","T.CD8","treatment.naive","Tirosh",4640,135532
"Cy72_CD45_C07_S703_comb","Mel72","T.cell","post.treatment","Tirosh",3309,216636
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C04_S412_comb","Mel79","T.CD4","treatment.naive","Tirosh",2981,29998
"cy94_cd45pos_G03_S171_comb","Mel94","T.CD8","post.treatment","Tirosh",3576,156103
"cy72_CD45_pos_H01_S949_comb","Mel72","T.CD4","post.treatment","Tirosh",3403,84249
"cy94_cd45pos_D12_S144_comb","Mel94","T.cell","post.treatment","Tirosh",5279,597003
"cy80_CD45_pos_PD1_pos_G01_S169_comb","Mel80","T.CD4","treatment.naive","Tirosh",2515,34832
"cy80_CD45_pos_PD1_pos_B11_S119_comb","Mel80","T.cell","treatment.naive","Tirosh",4772,104338
"CY89A_CD45_POS_6_G11_S179_comb","Mel89","T.CD8","treatment.naive","Tirosh",2182,32020
"cy84_Met_CD45_pos_G05_S941_comb","Mel84","T.CD8","treatment.naive","Tirosh",3062,124999
"cy74_CD45_pos_F12_S744_comb","Mel74","T.CD8","post.treatment","Tirosh",2810,38962
"cy80_CD45_pos_PD1_pos_D12_S144_comb","Mel80","T.CD8","treatment.naive","Tirosh",3859,100513
"cy79_p4_CD45_pos_PD1_pos_C11_S323_comb","Mel79","T.CD8","treatment.naive","Tirosh",3511,199169
"cy88_cd_45_pos_3_F07_S643_comb","Mel88","T.CD4","post.treatment","Tirosh",2803,64966
"cy84_Met_CD45_pos_F09_S933_comb","Mel84","T.CD8","treatment.naive","Tirosh",2568,60483
"cy80_CD45_neg_B11_S407_comb","Mel80","T.CD4","treatment.naive","Tirosh",3452,88037
"CY89A_CD45_POS_6_F02_S158_comb","Mel89","T.CD8","treatment.naive","Tirosh",3430,101711
"cy58_1_CD45_pos_H02_S662_comb","Mel58","T.cell","post.treatment","Tirosh",3670,105752
"cy58_1_CD45_pos_A04_S580_comb","Mel58","T.CD8","post.treatment","Tirosh",5114,158020
"cy80_Cd45_pos_Pd1_neg_S196_A04_S196_comb","Mel80","T.CD8","treatment.naive","Tirosh",3121,42252
"cy80_Cd45_pos_PD1_pos_S120_E12_S120_comb","Mel80","T.cell","treatment.naive","Tirosh",3619,79788
"Cy74_CD45_F07_S451_comb","Mel74","T.CD8","post.treatment","Tirosh",2994,115090
"cy74_CD45_pos_B06_S690_comb","Mel74","T.CD8","post.treatment","Tirosh",4841,56902
"CY89A_CD45_POS_6_H11_S191_comb","Mel89","T.CD8","treatment.naive","Tirosh",2422,38610
"cy79_p5_CD45_pos_PD1_pos_B04_S592_comb","Mel79","T.CD8","treatment.naive","Tirosh",3019,57244
"cy79_p5_CD45_pos_PD1_pos_F10_S646_comb","Mel79","T.CD8","treatment.naive","Tirosh",3143,83956
"CY89A_Core_15_F02_S62_comb","Mel89","T.CD8","treatment.naive","Tirosh",3025,61346
"cy80_CD45_pos_PD1_pos_H06_S186_comb","Mel80","T.CD4","treatment.naive","Tirosh",3337,77350
"Cy81_FNA_CD45_B04_S208_comb","Mel81","T.CD8","treatment.naive","Tirosh",2776,182104
"cy79_p3_CD45_pos_PD1_neg_E04_S148_comb","Mel79","T.CD8","treatment.naive","Tirosh",3133,53567
"cy80_Cd45_pos_Pd1_neg_S272_D08_S272_comb","Mel80","T.cell","treatment.naive","Tirosh",3087,43658
"cy58_1_CD45_pos_C12_S612_comb","Mel58","T.CD8","post.treatment","Tirosh",4410,57684
"CY89COREQ1_D09_S333_comb","Mel89","T.CD8","treatment.naive","Tirosh",4583,181587
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D01_S997_comb","Mel60","T.CD8","post.treatment","Tirosh",2809,86950
"cy80_CD45_pos_PD1_pos_F03_S159_comb","Mel80","T.cell","treatment.naive","Tirosh",3519,68197
"Cy74_CD45_C02_S410_comb","Mel74","T.CD8","post.treatment","Tirosh",3181,164459
"CY89A_Core_15_F11_S71_comb","Mel89","T.CD8","treatment.naive","Tirosh",2957,56994
"Cy81_FNA_CD45_G01_S265_comb","Mel81","T.CD8","treatment.naive","Tirosh",3518,292554
"Cy81_FNA_CD45_D02_S230_comb","Mel81","T.cell","treatment.naive","Tirosh",3530,253098
"cy79_p4_CD45_pos_PD1_pos_A03_S291_comb","Mel79","T.CD8","treatment.naive","Tirosh",2954,127137
"cy60_1_cd_45_pos_4_C05_S29_comb","Mel60","T.CD8","post.treatment","Tirosh",2022,10161
"cy72_CD45_pos_F03_S927_comb","Mel72","T.cell","post.treatment","Tirosh",3470,102950
"cy80_Cd45_pos_PD1_pos_S159_G03_S159_comb","Mel80","NK","treatment.naive","Tirosh",4265,95472
"cy74_CD45_pos_C09_S705_comb","Mel74","T.CD8","post.treatment","Tirosh",3030,59220
"CY58_1_CD45_A10_S970_comb","Mel58","T.CD4","post.treatment","Tirosh",3388,238000
"cy82_CD45_pos_2_G03_S555_comb","Mel82","T.cell","treatment.naive","Tirosh",4450,325595
"Cy72_CD45_D12_S720_comb","Mel72","T.cell","post.treatment","Tirosh",2816,134845
"CY89A_Core_15_H06_S90_comb","Mel89","T.CD8","treatment.naive","Tirosh",4243,275763
"cy79_p4_CD45_pos_PD1_pos_D08_S332_comb","Mel79","T.CD8","treatment.naive","Tirosh",2507,126961
"cy94_cd45pos_4_E02_S50_comb","Mel94","T.cell","post.treatment","Tirosh",6876,774260
"cy80_CD45_pos_PD1_pos_B07_S115_comb","Mel80","T.cell","treatment.naive","Tirosh",4575,64784
"CY58_1_CD45_F11_S1031_comb","Mel58","T.cell","post.treatment","Tirosh",3259,141696
"cy53_1_CD45_pos_2_A05_S965_comb","Mel53","NK","treatment.naive","Tirosh",5169,435432
"cy72_CD45_pos_B09_S885_comb","Mel72","T.cell","post.treatment","Tirosh",3336,79149
"cy72_CD45_pos_A07_S871_comb","Mel72","T.cell","post.treatment","Tirosh",3756,116362
"cy80_CD45_pos_PD1_pos_G10_S178_comb","Mel80","T.cell","treatment.naive","Tirosh",3052,48324
"cy94_cd45neg_cd90pos_B11_S311_comb","Mel94","T.CD4","post.treatment","Tirosh",5356,459582
"cy79_p5_CD45_pos_PD1_pos_D02_S614_comb","Mel79","T.CD8","treatment.naive","Tirosh",2164,23964
"CY89FNA_G11_S275_comb","Mel89","T.CD8","treatment.naive","Tirosh",3139,152278
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C11_S419_comb","Mel79","T.CD8","treatment.naive","Tirosh",2945,81410
"cy84_Primary_CD45_pos_D07_S427_comb","Mel84","T.CD4","treatment.naive","Tirosh",3442,76581
"cy80_CD45_pos_PD1_pos_G07_S175_comb","Mel80","T.CD4","treatment.naive","Tirosh",4062,108362
"cy88_cd_45_pos_C03_S411_comb","Mel88","T.CD8","post.treatment","Tirosh",3946,140502
"CY89A_Core_15_C07_S31_comb","Mel89","T.CD4","treatment.naive","Tirosh",3133,101099
"cy84_Primary_CD45_pos_B04_S400_comb","Mel84","T.cell","treatment.naive","Tirosh",3414,94018
"cy72_CD45_pos_A12_S876_comb","Mel72","T.cell","post.treatment","Tirosh",2896,32860
"Cy81_FNA_CD45_F01_S253_comb","Mel81","?","treatment.naive","Tirosh",3907,352759
"cy80_Cd45_pos_PD1_pos_S138_F06_S138_comb","Mel80","T.CD4","treatment.naive","Tirosh",4522,119679
"Cy74_CD45_A08_S392_comb","Mel74","T.CD4","post.treatment","Tirosh",3540,114115
"Cy71_CD45_G06_S558_comb","Mel71","T.CD4","treatment.naive","Tirosh",3168,139453
"Cy74_CD45_A04_S388_comb","Mel74","T.CD8","post.treatment","Tirosh",2456,100040
"CY58_1_CD45_B01_S973_comb","Mel58","T.cell","post.treatment","Tirosh",3149,114935
"cy94_cd45pos_4_E12_S60_comb","Mel94","B.cell","post.treatment","Tirosh",3764,16419
"CY89A_CD45_POS_6_B12_S120_comb","Mel89","T.CD8","treatment.naive","Tirosh",2125,27808
"CY89COREQ1_F09_S357_comb","Mel89","T.CD8","treatment.naive","Tirosh",3969,160030
"cy84_Primary_CD45_pos_E02_S434_comb","Mel84","T.cell","treatment.naive","Tirosh",3736,181257
"CY94CD45POS_1_B10_S118_comb","Mel94","T.CD4","post.treatment","Tirosh",4407,246369
"CY94CD45POS_1_E01_S145_comb","Mel94","T.cell","post.treatment","Tirosh",4450,329871
"CY75_1FNA_G09_S561_comb","Mel75","T.CD4","post.treatment","Tirosh",3653,106058
"CY58_1_CD45_H12_S1056_comb","Mel58","Macrophage","post.treatment","Tirosh",7066,33691
"cy94_cd45pos_A11_S107_comb","Mel94","T.cell","post.treatment","Tirosh",4603,553573
"cy84_Met_CD45_pos_D03_S903_comb","Mel84","T.cell","treatment.naive","Tirosh",2680,89242
"cy58_1_CD45_pos_H01_S661_comb","Mel58","T.CD8","post.treatment","Tirosh",4106,195791
"cy79_p5_CD45_pos_PD1_pos_A07_S583_comb","Mel79","T.CD8","treatment.naive","Tirosh",2658,28866
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G08_S272_comb","Mel79","T.CD8","treatment.naive","Tirosh",3703,52407
"cy53_1_CD45_pos_1_D11_S47_comb","Mel53","T.CD4","treatment.naive","Tirosh",4541,147168
"CY58_1_CD45_F05_S1025_comb","Mel58","T.CD8","post.treatment","Tirosh",2035,23361
"cy72_CD45_pos_A04_S868_comb","Mel72","T.CD4","post.treatment","Tirosh",4087,178288
